Slug,Date,Open,High,Low,Close,Volume,Market Cap
bitcoin,Feb 23/ 2018,9937.07,10487.30,9734.56,10301.10,7739500000,167746000000
bitcoin,Feb 22/ 2018,10660.40,11039.10,9939.09,10005.00,8040080000,179936000000
bitcoin,Feb 21/ 2018,11372.20,11418.50,10479.10,10690.40,9405340000,191927000000
bitcoin,Feb 20/ 2018,11231.80,11958.50,11231.80,11403.70,9926540000,189536000000
bitcoin,Feb 19/ 2018,10552.60,11273.80,10513.20,11225.30,7652090000,178055000000
bitcoin,Feb 18/ 2018,11123.40,11349.80,10326.00,10551.80,8744010000,187663000000
bitcoin,Feb 17/ 2018,10207.50,11139.50,10149.40,11112.70,8660880000,172191000000
bitcoin,Feb 16/ 2018,10135.70,10324.10,9824.82,10233.90,7296160000,170960000000
bitcoin,Feb 15/ 2018,9488.32,10234.80,9395.58,10166.40,9062540000,160025000000
bitcoin,Feb 14/ 2018,8599.92,9518.54,8599.92,9494.63,7909820000,145023000000
bitcoin,Feb 13/ 2018,8926.72,8958.47,8455.41,8598.31,5696720000,150516000000
bitcoin,Feb 12/ 2018,8141.43,8985.92,8141.43,8926.57,6256440000,137258000000
bitcoin,Feb 11/ 2018,8616.13,8616.13,7931.10,8129.97,6122190000,145245000000
bitcoin,Feb 10/ 2018,8720.08,9122.55,8295.47,8621.90,7780960000,146981000000
bitcoin,Feb 09/ 2018,8271.84,8736.98,7884.71,8736.98,6784820000,139412000000
bitcoin,Feb 08/ 2018,7637.86,8558.77,7637.86,8265.59,9346750000,128714000000
bitcoin,Feb 07/ 2018,7755.49,8509.11,7236.79,7621.30,9169280000,130683000000
bitcoin,Feb 06/ 2018,7051.75,7850.70,6048.26,7754.00,13999800000,118810000000
bitcoin,Feb 05/ 2018,8270.54,8364.84,6756.68,6955.27,9285290000,139325000000
bitcoin,Feb 04/ 2018,9175.70,9334.87,8031.22,8277.01,7073550000,154553000000
bitcoin,Feb 03/ 2018,8852.12,9430.75,8251.63,9174.91,7263790000,149085000000
bitcoin,Feb 02/ 2018,9142.28,9142.28,7796.49,8830.75,12726900000,153953000000
bitcoin,Feb 01/ 2018,10237.30,10288.80,8812.28,9170.54,9959400000,172372000000
bitcoin,Jan 31/ 2018,10108.20,10381.60,9777.42,10221.10,8041160000,170183000000
bitcoin,Jan 30/ 2018,11306.80,11307.20,10036.20,10106.30,8637860000,190339000000
bitcoin,Jan 29/ 2018,11755.50,11875.60,11179.20,11296.40,7107360000,197871000000
bitcoin,Jan 28/ 2018,11475.30,12040.30,11475.30,11786.30,8350360000,193133000000
bitcoin,Jan 27/ 2018,11174.90,11614.90,10989.20,11440.70,7583270000,188054000000
bitcoin,Jan 26/ 2018,11256.00,11656.70,10470.30,11171.40,9746200000,189398000000
bitcoin,Jan 25/ 2018,11421.70,11785.70,11057.40,11259.40,8873170000,192163000000
bitcoin,Jan 24/ 2018,10903.40,11501.40,10639.80,11359.40,9940990000,183419000000
bitcoin,Jan 23/ 2018,10944.50,11377.60,10129.70,10868.40,9660610000,184087000000
